iter	RMSE
0	0.9671216792
1	0.9368523735
2	0.9089965713
3	0.883898706
4	0.8623733047
5	0.8419204672
6	0.8238520243
7	0.807483414
8	0.7925242131
9	0.7796718826
10	0.7677822409
11	0.7568843978
12	0.7475088769
13	0.7393616779
14	0.7321983271
15	0.7256077715
16	0.7198106233
17	0.7146379267
18	0.7100083188
19	0.7060418888
20	0.7023183409
21	0.6990450061
22	0.6962827597
23	0.6937803616
24	0.6914715771
25	0.689466633
26	0.6876942909
27	0.6860568878
28	0.6846175909
29	0.683247296
30	0.6820495992
31	0.681027327
32	0.6800504772
33	0.679177444
34	0.6783757193
35	0.6776227502
36	0.6770638965
37	0.6764869933
38	0.6760113127
39	0.6756168139
40	0.6751551289
41	0.6748248028
42	0.6744458309
43	0.6741047223
44	0.6738492854
45	0.6735547349
46	0.6732585405
47	0.6729765679
48	0.6727284704
49	0.6724779202
50	0.6723073586
51	0.6720792336
52	0.6718924131
53	0.6717347982
54	0.6715730869
55	0.6714091188
56	0.6712423961
57	0.6710751179
58	0.6708827901
59	0.6707392661
60	0.6706049296
61	0.6704911593
62	0.6703729956
63	0.6702420225
64	0.6701346113
65	0.6700509932
66	0.6699593213
67	0.6698760029
68	0.6698108494
69	0.6697255195
70	0.6696355182
71	0.6694481158
72	0.6693493706
73	0.669276723
74	0.6692243816
75	0.6691695556
76	0.6691180504
77	0.6690396519
78	0.668958966
79	0.6688513811
80	0.6687420415
81	0.6686779224
82	0.6686051696
83	0.6685433203
84	0.6684927755
85	0.6684495359
86	0.6683993801
87	0.6683303739
88	0.6682432361
89	0.6681872742
90	0.668129562
91	0.6680650469
92	0.668028419
93	0.6679806431
94	0.6679182746
95	0.6678671231
96	0.6678116657
97	0.6677203067
98	0.6676668358
99	0.6676351736
100	0.6675899433
101	0.6675051598
102	0.6674443439
103	0.6674049302
104	0.6673860559
105	0.6673372198
106	0.667295125
107	0.6672467594
108	0.6672042858
109	0.6671659854
110	0.6671241653
111	0.6670684939
112	0.6670311055
113	0.6670005917
114	0.6669500378
115	0.6668963339
116	0.6668551217
117	0.6668336665
118	0.6667752275
119	0.6667637363
120	0.6666970232
121	0.6666435406
122	0.6666103874
123	0.6665593315
124	0.6665176001
125	0.6664724435
126	0.6664346364
127	0.6663557484
128	0.6663026758
129	0.6662387049
130	0.6661945867
131	0.6661617786
132	0.666093162
133	0.6660653304
134	0.6659956663
135	0.6659621943
136	0.6659076316
137	0.6658588446
138	0.6658093238
139	0.6657532954
140	0.6657162913
141	0.6656342749
142	0.665578908
143	0.6655460426
144	0.6654891883
145	0.6654460736
146	0.6653922535
147	0.665360729
148	0.6653087132
149	0.6652644833
150	0.6652178981
151	0.6651719826
152	0.6651311891
153	0.6650640942
154	0.6650064409
155	0.6649436301
156	0.6648819482
157	0.6648267263
158	0.6647352851
159	0.6646999373
160	0.6646590002
161	0.6646063249
162	0.6645548191
163	0.6644756905
164	0.6644318024
165	0.6643658777
166	0.6643199936
167	0.6642671834
168	0.6642153747
169	0.6641697719
170	0.6640994133
171	0.6640427738
172	0.6639746275
173	0.6639422866
174	0.6638764528
175	0.6638340962
176	0.6637867055
177	0.6637257156
178	0.6636624856
179	0.663613854
180	0.663557683
181	0.6635192453
182	0.6634727283
183	0.6634277034
184	0.6633932814
185	0.6633337926
186	0.6632823396
187	0.6632343786
188	0.6631532105
189	0.6631183894
190	0.6630674077
191	0.663015506
192	0.6629823295
193	0.6629278225
194	0.6628557348
195	0.6628014031
196	0.6627351186
197	0.6626830695
198	0.6626219268
199	0.6625858511
200	0.6625122966
201	0.6624755773
202	0.6624153801
203	0.6623712697
204	0.6623212837
205	0.6622582648
206	0.6622013249
207	0.6621409109
208	0.6620990094
209	0.6620458409
210	0.6619694206
211	0.6619201386
212	0.6618706057
213	0.6618190524
214	0.6617729342
215	0.6616904501
216	0.6616335052
217	0.6615705301
218	0.6615062105
219	0.6614500716
220	0.6613875197
221	0.6613274355
222	0.6612954529
223	0.661246942
224	0.6612072774
225	0.6611682356
226	0.6611224762
227	0.6610570111
228	0.6610032524
229	0.6609435056
230	0.6608911018
231	0.6608472619
232	0.6607862065
233	0.6607358346
234	0.6606786538
235	0.6606310959
236	0.660562868
237	0.6605181746
238	0.6604659654
239	0.6603927079
240	0.6603560368
241	0.6602986085
242	0.6602496255
243	0.6602076034
244	0.6601533593
245	0.6601286566
246	0.6600848912
247	0.6600326615
248	0.6599972227
249	0.6599540033
250	0.6598962239
251	0.6598487856
252	0.6597937217
253	0.6597536808
254	0.6596962045
255	0.6596249048
256	0.6595926112
257	0.6595394848
258	0.6594702721
259	0.659426635
260	0.6593754251
261	0.6593287519
262	0.6592658386
263	0.6592016556
264	0.6591507733
265	0.6590847492
266	0.6590213444
267	0.6589599691
268	0.6589040731
269	0.6588465525
270	0.6588183209
271	0.6587397935
272	0.6586930987
273	0.658625384
274	0.6585777191
275	0.6585442899
276	0.6584911634
277	0.6584272446
278	0.6583817275
279	0.6583328941
280	0.6582936167
281	0.6582469151
282	0.6582088335
283	0.6581786402
284	0.6581217793
285	0.6580841528
286	0.6580263887
287	0.6579804907
288	0.6579414538
289	0.6578882939
290	0.6578402509
291	0.6578015549
292	0.6577729714
293	0.6577401667
294	0.6576763082
295	0.65765744
296	0.6576037604
297	0.6575492498
298	0.6575333645
299	0.6574756024
300	0.6574317014
301	0.6573659259
302	0.6572970593
303	0.6572536123
304	0.6572190836
305	0.6571508784
306	0.6570942593
307	0.6570067785
308	0.6569457744
309	0.6568959032
310	0.6568287238
311	0.6567942198
312	0.6567617979
313	0.6567374868
314	0.6566897387
315	0.6566440061
316	0.6566056797
317	0.6565704974
318	0.6565227173
319	0.6564870734
320	0.6564444998
321	0.6563968208
322	0.6563434509
323	0.6563243315
324	0.6562919977
325	0.6562320742
326	0.6562016683
327	0.6561362521
328	0.6560772511
329	0.6560427946
330	0.6559864476
331	0.6559277532
332	0.6558994116
333	0.6558549626
334	0.6558242461
335	0.6557879659
336	0.6557616439
337	0.6557155912
338	0.6556733057
339	0.6556209308
340	0.6555938554
341	0.6555632932
342	0.655516501
343	0.6554865679
344	0.6554581394
345	0.6554296323
346	0.6553800472
347	0.6553313243
348	0.6552935528
349	0.6552566336
350	0.6552093011
351	0.6551742085
352	0.6551445783
353	0.6551306417
354	0.6550784158
355	0.6550330389
356	0.6550111647
357	0.654961112
358	0.6549248438
359	0.6548615618
360	0.6548036638
361	0.6547429415
362	0.6546812929
363	0.6546340996
364	0.654593747
365	0.6545530493
366	0.6545033719
367	0.6544571967
368	0.6543937781
369	0.6543499299
370	0.6543378996
371	0.6543011241
372	0.6542694426
373	0.6542282311
374	0.6541942249
375	0.6541556991
376	0.6540977508
377	0.6540520491
378	0.6540208358
379	0.6539766957
380	0.6539306122
381	0.6538991465
382	0.6538504891
383	0.6537940045
384	0.6537824867
385	0.6537600158
386	0.6537043979
387	0.6536516262
388	0.6536067503
389	0.6535734711
390	0.6535541394
391	0.6535224872
392	0.6535021923
393	0.653473846
394	0.6534350839
395	0.6534198758
396	0.6533590384
397	0.6533226695
398	0.6532845838
399	0.6532590238
400	0.6532235102
401	0.6531618166
402	0.65310441
403	0.6530601952
404	0.6530208616
405	0.6529924881
406	0.6529506861
407	0.65289476
408	0.6528462485
409	0.6528094613
410	0.6527706502
411	0.6527550335
412	0.6527152565
413	0.6526635158
414	0.652615512
415	0.6525511768
416	0.6525382019
417	0.6524923387
418	0.6524558079
419	0.6523989814
420	0.6523789165
421	0.6523314251
422	0.6522653974
423	0.652230094
424	0.6521750048
425	0.6521413629
426	0.6521222459
427	0.652068422
428	0.6520346695
429	0.651995947
430	0.6519727399
431	0.6519511064
432	0.6518799578
433	0.6518202599
434	0.6517779753
435	0.6517374594
436	0.6516944687
437	0.6516384013
438	0.651609097
439	0.6515780981
440	0.6515438968
441	0.6514984446
442	0.6514640386
443	0.6514050583
444	0.6513581396
445	0.6513122617
446	0.6512589034
447	0.651226566
448	0.6511369194
449	0.6510945746
450	0.651062824
451	0.6510051353
452	0.6509587108
453	0.6509371916
454	0.6509055636
455	0.650846456
456	0.6507725962
457	0.6507223352
458	0.6506877078
459	0.6506287721
460	0.6505993013
461	0.6505466516
462	0.6505116333
463	0.6504657489
464	0.6504247807
465	0.6503812122
466	0.650344832
467	0.6503026814
468	0.6502558477
469	0.6502269967
470	0.6501950972
471	0.6501576729
472	0.6501290104
473	0.6500948262
474	0.6500623964
475	0.6500403814
476	0.6499907389
477	0.6499510418
478	0.649907845
479	0.6498647617
480	0.6498180636
481	0.6497750472
482	0.649736047
483	0.6496808571
484	0.6496342022
485	0.6495955479
486	0.6495613099
487	0.6495239324
488	0.6494707382
489	0.6494331141
490	0.6493964293
491	0.6493731257
492	0.6493476422
493	0.6492803673
494	0.6492548505
495	0.6492371703
496	0.6491855818
497	0.6491294806
498	0.6491084272
499	0.6490619179
500	0.6490268272
501	0.6489728127
502	0.6489440854
503	0.6488960739
504	0.6488559968
505	0.648804256
506	0.6487743867
507	0.6487298725
508	0.6486974823
509	0.6486701383
510	0.648630443
511	0.6485842802
512	0.6485699805
513	0.6485310621
514	0.6485196244
515	0.6484917541
516	0.6484709549
517	0.6484383175
518	0.6484075399
519	0.6483658535
520	0.6483252255
521	0.6482741394
522	0.6482425935
523	0.6482105014
524	0.6481795183
525	0.6481528467
526	0.6481094091
527	0.648062411
528	0.6480360695
529	0.6479982634
530	0.6479771839
531	0.6479412578
532	0.647912154
533	0.6478697348
534	0.6478344213
535	0.6477744003
536	0.6477421776
537	0.6476952672
538	0.6476626272
539	0.6476253952
540	0.6475703281
541	0.6475372654
542	0.6474973926
543	0.6474398538
544	0.6473892506
545	0.6473500391
546	0.6473075786
547	0.6472959723
548	0.6472632488
549	0.647223449
550	0.647186
551	0.6471462834
552	0.6470757745
553	0.6470279222
554	0.6470045772
555	0.6469773616
556	0.6469410369
557	0.6468919634
558	0.6468541103
559	0.646821577
560	0.6467987534
561	0.6467694037
562	0.6467301608
563	0.6467030532
564	0.6466827892
565	0.646644955
566	0.6466019856
567	0.6465721643
568	0.6465571191
569	0.6465255951
570	0.6464861671
571	0.6464497422
572	0.6464263872
573	0.6464112694
574	0.6463837204
575	0.6463506502
576	0.6463151031
577	0.6462674375
578	0.6462182799
579	0.6461748637
580	0.6461371001
581	0.6461116673
582	0.6460742557
583	0.6460467942
584	0.6460136648
585	0.6459833934
586	0.6459344049
587	0.6459117905
588	0.6458744437
589	0.6458296523
590	0.6458224954
591	0.6458001474
592	0.6457560658
593	0.6457305491
594	0.645693623
595	0.6456353997
596	0.6455965069
597	0.6455549799
598	0.6455412561
599	0.6454969605
600	0.6454487694
601	0.645412207
602	0.6453786741
603	0.6453338463
604	0.6453098766
605	0.6452557563
606	0.6452134579
607	0.645199031
608	0.6451816898
609	0.6451505705
610	0.6451078487
611	0.6450670114
612	0.6450180734
613	0.6449962348
614	0.6449601353
615	0.644922215
616	0.6449000223
617	0.6448663702
618	0.6448308669
619	0.6447816431
620	0.6447405138
621	0.6447092788
622	0.6446714167
623	0.6446543567
624	0.6446228836
625	0.6445879791
626	0.6445322023
627	0.6444818534
628	0.6444429187
629	0.6444131091
630	0.6443809369
631	0.6443492338
632	0.6443039891
633	0.6442761366
634	0.6442431475
635	0.6441850726
636	0.6441686886
637	0.6441330167
638	0.6440847018
639	0.6440499014
640	0.6440162748
641	0.643958512
642	0.6439244104
643	0.6439115861
644	0.6438802156
645	0.643856108
646	0.6438304793
647	0.6438039036
648	0.6437646852
649	0.6437124061
650	0.6436676729
651	0.6436316598
652	0.6436036803
653	0.6435731237
654	0.6435342496
655	0.6434816976
656	0.6434425626
657	0.6434267884
658	0.6433747927
659	0.6433470677
660	0.643303809
661	0.6432765485
662	0.6432572516
663	0.6432194233
664	0.6431668698
665	0.6431521093
666	0.6431077603
667	0.6430872086
668	0.6430297482
669	0.642998081
670	0.6429642205
671	0.642936316
672	0.6429007131
673	0.6428572454
674	0.642810537
675	0.6427692457
676	0.6427330187
677	0.6427116994
678	0.6426882204
679	0.64263809
680	0.6426068318
681	0.6425882396
682	0.6425782051
683	0.6425361131
684	0.6425119798
685	0.642452385
686	0.6424089794
687	0.6423778818
688	0.6423457335
689	0.6423239448
690	0.6422811337
691	0.6422538273
692	0.6421950519
693	0.6421693447
694	0.6421146704
695	0.6420713799
696	0.6420307218
697	0.6419934651
698	0.6419571411
699	0.6419091465
700	0.6418874
701	0.6418650714
702	0.6418422258
703	0.6418018978
704	0.6417784917
705	0.6417641526
706	0.6417110049
707	0.6416807909
708	0.6416338671
709	0.641590173
710	0.6415743014
711	0.6415461101
712	0.6415244129
713	0.6414969459
714	0.6414838463
715	0.6414666224
716	0.6414162718
717	0.641383439
718	0.6413530413
719	0.6413053462
720	0.6412720517
721	0.6412312019
722	0.6411916814
723	0.641150284
724	0.6411188
725	0.6410836078
726	0.6410559758
727	0.6410213414
728	0.6409909383
729	0.640956801
730	0.6409235888
731	0.6408917239
732	0.6408560744
733	0.6408269873
734	0.6407999467
735	0.6407591108
736	0.6407254223
737	0.6407014065
738	0.6406762286
739	0.6406649506
740	0.6406081554
741	0.6405589771
742	0.6405174701
743	0.6404936462
744	0.6404563805
745	0.6404387046
746	0.6404006881
747	0.6403803347
748	0.6403449384
749	0.6403259111
750	0.64030216
751	0.6402589441
752	0.640231166
753	0.6401995127
754	0.6401910537
755	0.6401569502
756	0.6401227047
757	0.6400859021
758	0.6400479161
759	0.6400022695
760	0.6399703495
761	0.6399472753
762	0.6399073226
763	0.6398873203
764	0.6398713807
765	0.6398381871
766	0.6398036468
767	0.6397620008
768	0.6397321879
769	0.6397127962
770	0.6396760649
771	0.6396424295
772	0.6396228836
773	0.6396121312
774	0.6395783765
775	0.6395472166
776	0.6395122626
