iter	Passed	Remaining
0	71	71910
1	75	37602
2	78	26073
3	81	20246
4	83	16683
5	86	14264
6	88	12525
7	90	11217
8	92	10166
9	93	9300
10	95	8598
11	97	7991
12	98	7479
13	99	7040
14	101	6674
15	103	6352
16	104	6062
17	106	5802
18	108	5577
19	109	5370
20	111	5181
21	112	5011
22	114	4852
23	115	4705
24	117	4574
25	118	4451
26	120	4337
27	121	4234
28	123	4134
29	125	4042
30	126	3957
31	128	3877
32	129	3799
33	131	3727
34	132	3662
35	134	3596
36	135	3533
37	137	3474
38	138	3418
39	140	3368
40	141	3316
41	143	3265
42	144	3218
43	146	3176
44	147	3135
45	149	3096
46	150	3056
47	152	3019
48	153	2983
49	155	2947
50	156	2914
51	158	2881
52	159	2849
53	161	2820
54	162	2795
55	164	2768
56	165	2744
57	167	2720
58	169	2696
59	170	2672
60	172	2649
61	173	2628
62	175	2606
63	176	2584
64	178	2563
65	179	2542
66	181	2522
67	182	2502
68	183	2482
69	185	2462
70	186	2445
71	188	2428
72	189	2411
73	191	2395
74	192	2379
75	194	2367
76	196	2352
77	197	2336
78	199	2320
79	200	2306
80	202	2296
81	203	2282
82	205	2270
83	206	2257
84	208	2243
85	209	2230
86	211	2217
87	212	2206
88	214	2194
89	215	2182
90	217	2171
91	219	2161
92	220	2151
93	222	2141
94	223	2131
95	225	2120
96	226	2108
97	228	2099
98	229	2089
99	231	2079
100	232	2072
101	234	2062
102	236	2055
103	237	2047
104	238	2036
105	240	2028
106	242	2020
107	243	2012
108	245	2003
109	246	1995
110	248	1988
111	249	1980
112	251	1972
113	252	1964
114	254	1956
115	255	1948
116	257	1940
117	258	1933
118	260	1926
119	261	1915
120	262	1908
121	264	1901
122	265	1894
123	267	1887
124	268	1879
125	270	1873
126	271	1867
127	273	1860
128	274	1854
129	276	1849
130	277	1843
131	279	1837
132	280	1831
133	282	1825
134	284	1819
135	285	1814
136	287	1808
137	288	1803
138	290	1797
139	291	1792
140	293	1787
141	295	1783
142	296	1778
143	298	1773
144	299	1768
145	301	1762
146	302	1758
147	304	1752
148	305	1747
149	307	1740
150	308	1734
151	309	1729
152	311	1725
153	313	1720
154	314	1715
155	316	1710
156	317	1705
157	319	1701
158	320	1697
159	322	1692
160	323	1688
161	325	1683
162	327	1679
163	328	1675
164	330	1670
165	331	1665
166	332	1660
167	334	1656
168	336	1652
169	337	1648
170	339	1644
171	340	1640
172	342	1636
173	343	1632
174	345	1627
175	346	1624
176	348	1619
177	349	1615
178	351	1611
179	353	1608
180	354	1604
181	356	1601
182	357	1596
183	359	1592
184	360	1589
185	362	1585
186	363	1581
187	365	1578
188	366	1574
189	368	1569
190	369	1565
191	371	1561
192	372	1557
193	373	1553
194	375	1548
195	376	1544
196	378	1541
197	379	1536
198	380	1533
199	382	1529
200	383	1526
201	385	1522
202	386	1519
203	388	1515
204	389	1512
205	391	1508
206	393	1505
207	394	1502
208	396	1498
209	397	1495
210	398	1491
211	400	1488
212	401	1485
213	403	1481
214	404	1478
215	406	1475
216	408	1472
217	409	1469
218	411	1466
219	412	1462
220	414	1460
221	415	1456
222	417	1453
223	418	1450
224	420	1447
225	421	1443
226	423	1440
227	424	1437
228	425	1434
229	427	1430
230	428	1427
231	430	1424
232	431	1420
233	433	1417
234	434	1415
235	436	1412
236	437	1409
237	439	1407
238	441	1404
239	442	1402
240	444	1400
241	446	1397
242	447	1394
243	449	1392
244	450	1389
245	452	1386
246	453	1383
247	455	1380
248	456	1377
249	458	1375
250	459	1372
251	461	1369
252	462	1366
253	464	1364
254	466	1361
255	467	1358
256	469	1356
257	470	1353
258	472	1351
259	474	1349
260	475	1347
261	477	1345
262	479	1342
263	480	1340
264	482	1337
265	483	1335
266	485	1332
267	486	1329
268	488	1326
269	489	1323
270	490	1320
271	492	1318
272	494	1315
273	495	1313
274	497	1311
275	498	1308
276	500	1306
277	502	1303
278	503	1301
279	505	1298
280	506	1296
281	508	1293
282	509	1291
283	511	1288
284	512	1285
285	514	1283
286	515	1281
287	517	1279
288	519	1276
289	520	1274
290	522	1272
291	523	1269
292	525	1267
293	526	1264
294	528	1262
295	529	1260
